City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,22.23,59,5,2.02,US,1681436282
1,castro,-24.7911,-50.0119,16.83,83,98,1.35,BR,1681436476
2,tuktoyaktuk,69.4541,-133.0374,-19.0,78,40,2.57,CA,1681436040
3,severo-yeniseyskiy,60.3725,93.0408,-12.56,90,100,3.08,RU,1681436181
4,sambava,-14.2667,50.1667,23.17,91,11,1.86,MG,1681436478
5,ouegoa,-20.35,164.4333,24.83,87,100,2.12,NC,1681436479
6,yarada,17.65,83.2667,29.97,57,19,4.11,IN,1681436480
7,cherskiy,68.75,161.3,-12.17,78,8,2.99,RU,1681436480
8,middelburg,-25.7751,29.4648,14.55,58,0,2.67,ZA,1681436395
9,arraial do cabo,-22.9661,-42.0278,24.07,91,8,4.9,BR,1681436386
10,vaini,-21.2,-175.2,30.09,70,20,6.69,TO,1681436482
11,mataura,-46.1927,168.8643,17.58,59,0,3.74,NZ,1681436482
12,lavrentiya,65.5833,-171.0,-13.81,74,7,4.08,RU,1681436483
13,marsh harbour,26.5412,-77.0636,24.6,82,77,7.29,BS,1681436484
14,miri,4.4148,114.0089,30.08,74,40,1.54,MY,1681436484
15,port alfred,-33.5906,26.891,16.44,73,1,8.84,ZA,1681436486
16,zvenigovo,55.9742,48.0181,-1.47,68,100,8.25,RU,1681436486
17,nanortalik,60.1432,-45.2371,1.17,79,100,1.94,GL,1681436487
18,busselton,-33.65,115.3333,15.93,44,77,8.49,AU,1681436487
19,faanui,-16.4833,-151.75,27.52,70,4,2.51,PF,1681436488
20,georgetown,5.4112,100.3354,29.96,84,20,2.06,MY,1681436470
21,puerto ayora,-0.7393,-90.3518,28.08,90,98,2.68,EC,1681436490
22,punta arenas,-53.15,-70.9167,1.06,86,0,2.57,CL,1681436452
23,ushuaia,-54.8,-68.3,2.81,81,0,1.03,AR,1681436244
24,hambantota,6.1241,81.1185,25.19,100,20,1.03,LK,1681436491
25,den helder,52.9599,4.7593,7.76,88,20,4.63,NL,1681436492
26,jamestown,42.097,-79.2353,17.8,54,0,3.6,US,1681436493
27,palasa,18.7667,84.4167,32.05,37,21,1.83,IN,1681436493
28,korla,41.7597,86.1469,12.78,36,50,2.55,CN,1681436494
29,antalaha,-14.9003,50.2788,22.9,90,5,1.75,MG,1681436494
30,sao filipe,14.8961,-24.4956,23.01,80,53,1.24,CV,1681436495
31,keti bandar,24.1447,67.4497,25.81,78,0,5.43,PK,1681436495
32,caravelas,-17.7125,-39.2481,24.06,90,12,2.27,BR,1681436495
33,atuona,-9.8,-139.0333,26.87,70,81,2.04,PF,1681436496
34,hermanus,-34.4187,19.2345,12.11,68,58,5.74,ZA,1681436496
35,miranda,3.2499,-76.2281,23.07,92,98,2.26,CO,1681436497
